FEEDBACK_TEXT,FEEDBACK_PAGE,FEEDBACK_QUESTION,USER_TYPE,clean_text,sentiment,scores
"Great user experience, everything was intuitive.",CurrentIncomeDetails,How satisfied are you with the overall experience on this page?,Assister,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
"Not user-friendly, hard to navigate.",reviewEligibility,How satisfied are you with the overall experience on this page?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
I had trouble finding the information I needed.,SignAndSubmit,How satisfied are you with the overall experience on this page?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
It was confusing and difficult to understand.,primarycontactInfo,Was there any difficulty in completing the task?,Individual,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
I had trouble finding the information I needed.,CurrentIncomeDetails,How easy was the page to navigate?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
It was confusing and difficult to understand.,incomeReported,How easy was the page to navigate?,Individual,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
I experienced several errors and had to reload.,EligibilityResult,Was there any difficulty in completing the task?,Agent,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"The page loaded quickly, and the information was clear.",additionalInformation,Was the information on the page clear?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
Very satisfied with the ease of use.,householdInfomration,Did you find all the information you needed?,Individual,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
I had trouble finding the information I needed.,incomeReported,How easy was the page to navigate?,Assister,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The interface was clunky and slow.,additionalInformation,Did you find all the information you needed?,Agent,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
"Not user-friendly, hard to navigate.",SignAndSubmit,Was there any difficulty in completing the task?,Assister,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
"Great user experience, everything was intuitive.",householdInfomration,Was the information on the page clear?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
"Not user-friendly, hard to navigate.",PersonalInfomration,Was the information on the page clear?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
The process was smooth and easy to follow.,CareTakerRelationship,Was the information on the page clear?,Agent,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
Very satisfied with the ease of use.,primarycontactInfo,Was there any difficulty in completing the task?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
The process was smooth and easy to follow.,CurrentIncomeDetails,How satisfied are you with the overall experience on this page?,Assister,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
I experienced several errors and had to reload.,incomeReported,How satisfied are you with the overall experience on this page?,Assister,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
Very satisfied with the ease of use.,primarycontactInfo,Did you find all the information you needed?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
Very satisfied with the ease of use.,EligibilityResult,How satisfied are you with the overall experience on this page?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
The process was smooth and easy to follow.,additionalInformation,How satisfied are you with the overall experience on this page?,Assister,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
It was confusing and difficult to understand.,additionalInformation,Was the information on the page clear?,Individual,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
The process was smooth and easy to follow.,incomeReported,Was the information on the page clear?,Individual,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
"Not user-friendly, hard to navigate.",reviewEligibility,Did you find all the information you needed?,Assister,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
It was confusing and difficult to understand.,reviewEligibility,How easy was the page to navigate?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
"Not user-friendly, hard to navigate.",PersonalInfomration,Did you find all the information you needed?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
I experienced several errors and had to reload.,CareTakerRelationship,Did you find all the information you needed?,Individual,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"Great user experience, everything was intuitive.",householdInfomration,Was there any difficulty in completing the task?,Individual,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
Instructions were clear and helpful.,EligibilityResult,Was there any difficulty in completing the task?,Assister,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
It was confusing and difficult to understand.,primarycontactInfo,Did you find all the information you needed?,Individual,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
I experienced several errors and had to reload.,reviewEligibility,Did you find all the information you needed?,Assister,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The interface was clunky and slow.,PersonalInfomration,Did you find all the information you needed?,Individual,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
I experienced several errors and had to reload.,PersonalInfomration,How satisfied are you with the overall experience on this page?,Individual,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The process was smooth and easy to follow.,incomeReported,Was there any difficulty in completing the task?,Individual,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
The process was smooth and easy to follow.,EligibilityResult,Did you find all the information you needed?,Agent,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
Instructions were clear and helpful.,SignAndSubmit,Was the information on the page clear?,Agent,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
I experienced several errors and had to reload.,householdInfomration,Was the information on the page clear?,Agent,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"The page loaded quickly, and the information was clear.",CareTakerRelationship,How satisfied are you with the overall experience on this page?,Individual,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
"Great user experience, everything was intuitive.",CurrentIncomeDetails,How satisfied are you with the overall experience on this page?,Assister,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
The process was smooth and easy to follow.,incomeReported,How easy was the page to navigate?,Assister,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
Instructions were clear and helpful.,householdInfomration,How easy was the page to navigate?,Assister,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
"Great user experience, everything was intuitive.",CurrentIncomeDetails,How easy was the page to navigate?,Assister,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
I experienced several errors and had to reload.,CurrentIncomeDetails,How satisfied are you with the overall experience on this page?,Agent,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
I experienced several errors and had to reload.,EligibilityResult,How satisfied are you with the overall experience on this page?,Agent,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
Very satisfied with the ease of use.,EligibilityResult,How satisfied are you with the overall experience on this page?,Individual,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
Instructions were clear and helpful.,primarycontactInfo,Was the information on the page clear?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
The process was smooth and easy to follow.,PersonalInfomration,How satisfied are you with the overall experience on this page?,Assister,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
"The page loaded quickly, and the information was clear.",householdInfomration,Was the information on the page clear?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
I experienced several errors and had to reload.,incomeReported,How easy was the page to navigate?,Assister,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"The page loaded quickly, and the information was clear.",additionalInformation,How easy was the page to navigate?,Individual,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
I experienced several errors and had to reload.,incomeReported,How easy was the page to navigate?,Individual,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The process was smooth and easy to follow.,primarycontactInfo,Did you find all the information you needed?,Assister,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
"Great user experience, everything was intuitive.",CareTakerRelationship,Did you find all the information you needed?,Individual,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
I had trouble finding the information I needed.,PersonalInfomration,Was there any difficulty in completing the task?,Assister,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"Great user experience, everything was intuitive.",additionalInformation,Was there any difficulty in completing the task?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
I experienced several errors and had to reload.,reviewEligibility,Was there any difficulty in completing the task?,Assister,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"Not user-friendly, hard to navigate.",CareTakerRelationship,Did you find all the information you needed?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
I had trouble finding the information I needed.,EligibilityResult,Did you find all the information you needed?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
I had trouble finding the information I needed.,CurrentIncomeDetails,Was there any difficulty in completing the task?,Individual,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"The page loaded quickly, and the information was clear.",reviewEligibility,Was there any difficulty in completing the task?,Individual,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
Instructions were clear and helpful.,incomeReported,How satisfied are you with the overall experience on this page?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
"The page loaded quickly, and the information was clear.",incomeReported,Was there any difficulty in completing the task?,Assister,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
"The page loaded quickly, and the information was clear.",EligibilityResult,How satisfied are you with the overall experience on this page?,Assister,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
"Not user-friendly, hard to navigate.",primarycontactInfo,Was the information on the page clear?,Individual,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
"Great user experience, everything was intuitive.",householdInfomration,Did you find all the information you needed?,Assister,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
"Great user experience, everything was intuitive.",reviewEligibility,Was there any difficulty in completing the task?,Individual,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
The interface was clunky and slow.,reviewEligibility,Did you find all the information you needed?,Assister,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
I experienced several errors and had to reload.,SignAndSubmit,Did you find all the information you needed?,Agent,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"Not user-friendly, hard to navigate.",CareTakerRelationship,Did you find all the information you needed?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
The interface was clunky and slow.,PersonalInfomration,Was the information on the page clear?,Individual,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
The process was smooth and easy to follow.,CareTakerRelationship,How easy was the page to navigate?,Assister,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
I experienced several errors and had to reload.,householdInfomration,Was there any difficulty in completing the task?,Assister,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
I experienced several errors and had to reload.,incomeReported,How easy was the page to navigate?,Agent,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
Very satisfied with the ease of use.,incomeReported,How easy was the page to navigate?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
Very satisfied with the ease of use.,incomeReported,How easy was the page to navigate?,Individual,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
It was confusing and difficult to understand.,SignAndSubmit,Did you find all the information you needed?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
Its neutral,SignAndSubmit,Did you find all the information you needed?,Agent,neutral,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
